2026-06-19T10:40:26.549262479Z I0619 10:40:26.549080       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:40:26.649751210Z I0619 10:40:26.649465       1 batcher.go:146] Batch processing duration: 100.273464ms
2026-06-19T10:40:26.649778967Z I0619 10:40:26.649523       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:40:26.649784049Z I0619 10:40:26.649535       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:40:26.747270558Z I0619 10:40:26.747112       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:40:26.747298903Z I0619 10:40:26.747155       1 node_controller.go:271] Update 3 nodes status took 669.983625ms.
2026-06-19T10:45:26.848047019Z I0619 10:45:26.847852       1 batcher.go:146] Batch processing duration: 100.260355ms
2026-06-19T10:45:26.848097513Z I0619 10:45:26.847917       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:45:26.848149727Z I0619 10:45:26.847930       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:45:26.992268874Z I0619 10:45:26.992068       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:45:27.093364694Z I0619 10:45:27.093255       1 batcher.go:146] Batch processing duration: 101.095589ms
2026-06-19T10:45:27.093760955Z I0619 10:45:27.093603       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:45:27.093934147Z I0619 10:45:27.093654       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:45:27.175335783Z I0619 10:45:27.175144       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:45:27.276180352Z I0619 10:45:27.275940       1 batcher.go:146] Batch processing duration: 100.690562ms
